Move_ID,Line_ID,Slot,Name,Name_S1,Name_S2,Name_S3,Power_S1,Power_S2,Power_S3,Cooldown,Effect_S1,Effect_S2,Effect_S3,Synergy,Anti,VFX_Description,Targets,Level_Learned,Level_Upgrade_V2,Level_Upgrade_V3
M-GOLGOTH-2,GOLGOTH,2,Earthbreaker Stomp,Seismic Stomp,Quake Stomp,Earthbreaker Stomp,70,95,120,2,Damage only.,"Damage; Staggered: target -1 Speed stage, 1t.","Damage; Staggered: target -1 Speed stage, 1t.",-,-,"One stamp; the arena jumps, dust leaping off every surface.",enemy,6,24,46
M-GOLGOTH-3,GOLGOTH,3,Mountain's Fist,Stone Fist,Granite Fist,Mountain's Fist,50,65,80,0,Damage only.,Damage only.,Damage only.,-,-,A forelimb like a quarry slab hammers straight down.,enemy,1,24,46
M-GOLGOTH-4,GOLGOTH,4,Monolith Skin,Calcify,Petrify Hide,Monolith Skin,0,0,0,2,"+20% Defense (self, 2t).","+25% Defense (self, 2t); self -1 Speed stage, 1t.","+30% Defense (self, 2t); self -1 Speed stage, 1t.",-,-,"Skin audibly hardens, seams of grey stone spreading like frost.",self,12,24,46
M-WYCHROOT-1,WYCHROOT,1,Strangleroot Execution,Root Grip,Strangleroots,Strangleroot Execution,70,95,120,3,"Damage; Rootbound: target -1 Speed stage, 1t.","Damage; Rootbound: target -2 Speed stages, 2t.","Damage; Rootbound: target -2 Speed stages, 2t.",-,+30% damage vs Undead targets.,The entire root system surfaces and constricts in a woody spiral.,enemy,18,24,47
M-WYCHROOT-2,WYCHROOT,2,Scourge of Grasping Roots,Root Lash,Root Scourge,Scourge of Grasping Roots,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,A root snaps out of the soil like a bullwhip.,enemy,1,24,47
M-WYCHROOT-3,WYCHROOT,3,Draught of Stolen Years,Sap Drink,Sap Draught,Draught of Stolen Years,0,0,0,2,"Leech Roots: 3%/turn, 2t.","Leech Roots: target takes 3% max HP/turn, 2t; user heals 80% of damage dealt.","Leech Roots: target takes 4% max HP/turn, 2t; user heals the amount dealt.",-,-,Pale rootlets pierce the target; amber sap flows back along them.,enemy+self,6,24,47
M-WYCHROOT-4,WYCHROOT,4,Hide of the Elder Bark,Barkskin,Ironbark Skin,Hide of the Elder Bark,0,0,0,2,"+25% Defense (self, 2t).","+30% Defense (self, 2t).","+35% Defense (self, 2t).","Floral allies gain +15% Defense, 2t.",-,Bark plates grind closed over every gap in the stump's body.,self,12,24,47
M-GARROTE-1,GARROTE,1,The Final Knot,Tight Knot,Last Knot,The Final Knot,95,130,160,4,"Damage; Throttle: target -10% Attack, 1t.","Damage; Throttle: target -15% Attack and -1 Speed stage, 2t.","Damage; Throttle: target -20% Attack and -1 Speed stage, 2t.",-,+40% damage vs Beast targets.,"Every cord on its body strikes at once, weaving a strangling web.",enemy,20,26,49
M-GARROTE-2,GARROTE,2,Drop of the Condemned,Gallows Drop,Trapdoor Drop,Drop of the Condemned,70,95,120,2,Damage; +20% more vs targets below 40% HP.,Damage; +30% more vs targets below 40% HP.,Damage; +35% more vs targets below 40% HP.,-,-,The revenant hoists the target a metre and lets it fall short.,enemy,13,26,49
M-GARROTE-3,GARROTE,3,Windpipe Cinch,Cinch,Cinch Tight,Windpipe Cinch,50,65,80,1,Damage only.,"Damage; Garroted: target -5% Attack, 2t.","Damage; Garroted: target -10% Attack, 2t.",-,-,A loop of knotted binding tightens around the throat and drags.,enemy,7,26,49
M-GARROTE-4,GARROTE,4,Razorwire Scourge,Wire Whip,Wire Lash,Razorwire Scourge,30,40,50,0,Damage only.,Damage; +15% more if user acted before the target this turn.,Damage; +20% more if user acted before the target this turn.,-,-,A sinew-cord cracks across the target faster than sight.,enemy+self,1,26,49
M-GALLOWSBIRD-1,GALLOWSBIRD,1,Wind of the Final Rite,Grave Wind,Funeral Wind,Wind of the Final Rite,50,65,80,3,Damage; +20% more vs targets with Knell.,Damage; +30% more vs targets with Knell.,Damage; +40% more vs targets with Knell.,-,-,A downdraft of grave-cold air flattens the grass around the target.,enemy,20,27,50
M-GALLOWSBIRD-2,GALLOWSBIRD,2,Peck of Ill Omens,Peck of Omens,Omen Peck,Peck of Ill Omens,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,A precise strike; a single black feather drifts down after.,enemy,1,27,50
M-GALLOWSBIRD-3,GALLOWSBIRD,3,Knell of the Condemned,Death Knell,Tolling Knell,Knell of the Condemned,0,0,0,2,"Knell: +10% damage from all sources, 1t.","Knell: target takes +15% damage from all sources, 2t.","Knell: target takes +20% damage from all sources, 2t.",-,-,The exposed ribcage rings like a struck bell; the tone lingers.,enemy,7,27,50
M-GALLOWSBIRD-4,GALLOWSBIRD,4,Feast of Crows,Carrion Call,Carrion Summons,Feast of Crows,0,0,0,2,"One ally +10% Attack, 2t.","All allies +10% Attack, 2t.","All allies +15% Attack, 2t.",Undead allies gain +30% Attack instead.,-,A rattling caw; shadows of circling birds cross the ground.,ally,14,27,50
M-HERNE-1,HERNE,1,Judgment of the Horned King,Antler Toss,Horned Judgment,Judgment of the Horned King,70,95,120,3,Damage only.,Damage only.,Damage only.,-,+40% damage vs Demon targets.,Antlers blaze white-green as the stag charges through the target.,enemy,14,28,51
M-HERNE-2,HERNE,2,Sovereign's Gore,Antler Jab,Antler Gore,Sovereign's Gore,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,"A short, contemptuous toss of the crowned head.",enemy,1,28,51
M-HERNE-3,HERNE,3,Bloom of the Wild Throne,Green Bloom,Sovereign's Bloom,Bloom of the Wild Throne,0,0,0,3,Heal one ally 15% max HP.,Heal one ally 20% max HP.,Heal one ally 25% max HP.,Fey and Beast allies are healed 10% more.,-,Flowers along the antlers open; drifting petals knit wounds shut.,ally,21,28,51
M-HERNE-4,HERNE,4,Dominion of the Hunt,Wild Command,Command the Wild,Dominion of the Hunt,0,0,0,2,"One ally +10% Attack, 2t.","One ally +15% Attack, 2t.","One ally +20% Attack, 2t.",Beast allies gain +30% Attack instead.,-,The stag-lord's eyes flare green; the ally's hackles rise in answer.,ally,7,28,51
M-TIDECRAWLER-1,TIDECRAWLER,1,Barnacle Millstone,Shell Scrape,Barnacle Grind,Barnacle Millstone,70,95,120,3,"Damage; Hullscrape: target -10% Defense, 1t.","Damage; Hullscrape: target -10% Defense, 2t.","Damage; Hullscrape: target -15% Defense, 2t.",-,+30% damage vs Mollusk targets.,"The crusted shell rasps across the target, shaving off sparks and scale.",enemy,17,23,44
M-TIDECRAWLER-2,TIDECRAWLER,2,Tidal Scuttle Assault,Scuttle Strike,Scuttle Slash,Tidal Scuttle Assault,50,65,80,1,Damage only.,Damage; +15% more if user acted before the target this turn.,Damage; +20% more if user acted before the target this turn.,-,-,A blinding sideways skitter ending in a claw-hook.,enemy+self,6,23,44
M-TIDECRAWLER-3,TIDECRAWLER,3,Shear of the Tidepool,Pincer Snip,Pincer Shear,Shear of the Tidepool,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,One claw scissors shut with a wet clack.,enemy,1,23,44
M-TIDECRAWLER-4,TIDECRAWLER,4,Bastion of the Shore,Shell Up,Shell Wall,Bastion of the Shore,0,0,0,2,"+20% Defense (self, 2t).","+25% Defense (self, 2t).","+30% Defense (self, 2t).",-,-,The crab folds flat; barnacled plate faces the world.,self,12,23,44
M-SALTJAW-1,SALTJAW,1,Inescapable Jawlock,Jawlock,Jawlock Vice,Inescapable Jawlock,95,130,160,3,"Damage; Clamped: target -1 Speed stage, 1t.","Damage; Clamped: target -1 Speed stage and -5% Attack, 2t.","Damage; Clamped: target -1 Speed stage and -10% Attack, 2t.",-,+30% damage vs Amphibian targets.,The jaws seize and simply do not let go; the body whips behind them.,enemy,18,24,45
M-SALTJAW-2,SALTJAW,2,Salt in the Wound,Salt Wound,Salted Wound,Salt in the Wound,70,95,120,2,Damage; +20% more vs targets with any damage-over-time effect.,Damage; +30% more vs targets with any damage-over-time effect.,Damage; +40% more vs targets with any damage-over-time effect.,-,-,Brine gushes from the gills directly into the target's open cuts.,enemy,12,24,45
M-SALTJAW-3,SALTJAW,3,Bonesplitting Bite,Bite,Crushing Bite,Bonesplitting Bite,50,65,80,0,Damage only.,Damage only.,Damage only.,-,-,The whole fish is briefly just an open mouth.,enemy,1,24,45
M-SALTJAW-4,SALTJAW,4,Deathroll Thrash,Thrash,Death Thrash,Deathroll Thrash,30,40,50,0,"Damage; Ragged: target bleeds 2% max HP/turn, 1t.","Damage; Ragged: target bleeds 2% max HP/turn, 2t.","Damage; Ragged: target bleeds 3% max HP/turn, 2t.",-,-,Violent side-to-side shaking; water and red spray.,enemy,6,24,45
M-BRINEFROG-1,BRINEFROG,1,Drowning Chorus,Wet Croak,Deluge Croak,Drowning Chorus,50,65,80,3,"Damage; Soaked: target -10% Defense, 1t.","Damage; Soaked: target -10% Defense, 2t.","Damage; Soaked: target -15% Defense, 2t.","Aquatic allies: Soaked targets also take -1 Speed stage, 1t.",+30% damage vs Elemental targets.,A croak so deep it arrives as a wall of displaced water.,enemy,18,24,46
M-BRINEFROG-2,BRINEFROG,2,Caustic Brinespit,Brine Spit,Salt Spit,Caustic Brinespit,30,40,50,0,Damage only.,"Damage; Sting: target -4% Attack, 1t.","Damage; Sting: target -5% Attack, 1t.",-,-,A pressurised jet of cloudy saltwater to the eyes.,enemy,1,24,46
M-BRINEFROG-3,BRINEFROG,3,Veil of Weeping Salt,Weeping Mist,Mourning Mist,Veil of Weeping Salt,0,0,0,2,"Brineblind: target -10% Attack, 1t.","Brineblind: target -10% Attack, 2t.","Brineblind: target -15% Attack, 2t.",-,-,The frog's whole skin weeps; a stinging fog rolls off it.,enemy,6,24,46
M-BRINEFROG-4,BRINEFROG,4,Tidal Swell,Puff Up,Swell Up,Tidal Swell,0,0,0,2,"+20% Defense (self, 2t).","+25% Defense (self, 2t).","+30% Defense (self, 2t).",-,-,The toad inflates to twice its size with a rubbery creak.,self,12,24,46
M-CRESTMANTIS-1,CRESTMANTIS,1,Thermal Lance Annihilation,Steam Punch,Thermal Lance Punch,Thermal Lance Annihilation,95,130,160,3,"Damage; Scalded: target -10% Defense, 1t.","Damage; Scalded: target -10% Defense, 2t.","Damage; Scalded: target -15% Defense, 2t.",-,+40% damage vs Mollusk targets.,One punch rides a spear of superheated water that flashes to steam.,enemy,19,25,48
M-CRESTMANTIS-2,CRESTMANTIS,2,Imploding Cavitation,Cavitation Snap,Cavitation Burst,Imploding Cavitation,50,65,80,1,Damage; ignores 10% of target Defense.,Damage; ignores 15% of target Defense.,Damage; ignores 20% of target Defense.,-,-,The claw snaps; a collapsing bubble flashes white where it points.,enemy,7,25,48
M-CRESTMANTIS-3,CRESTMANTIS,3,Pistonstorm Volley,Jab Volley,Piston Volley,Pistonstorm Volley,30,40,50,0,Damage as 2 rapid hits.,Damage as 3 rapid hits.,Damage as 3 rapid hits.,-,-,A drumroll of punches too fast to count.,enemy,1,25,48
M-CRESTMANTIS-4,CRESTMANTIS,4,Superheated Threshold,Warm Up,Boiling Point,Superheated Threshold,0,0,0,1,"Self +15% Attack, 2t.","Self +20% Attack, 2t.","Self +25% Attack, 2t.",-,-,The crest glows through orange to white; water steams off it.,self,13,25,48
M-RUSALKA-1,RUSALKA,1,Surge of Drowning Grief,Sorrow Swell,Grief Surge,Surge of Drowning Grief,50,65,80,3,Damage; +20% more vs targets with Lured.,Damage; +30% more vs targets with Lured.,Damage; +40% more vs targets with Lured.,-,-,The nymph's form collapses into a breaking wave of drowned faces.,enemy,14,27,50
M-RUSALKA-2,RUSALKA,2,Grasp of the Undertow,Undertow Touch,Undertow Grasp,Grasp of the Undertow,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,A pale hand of moving water brushes past; the pull follows.,enemy,1,27,50
M-RUSALKA-3,RUSALKA,3,Lure to the Riverbed,Drowning Lure,Siren Lure,Lure to the Riverbed,0,0,0,2,"Lured: target -1 Speed stage, 1t.","Lured: target -1 Speed stage and -5% Attack, 2t.","Lured: target -1 Speed stage and -10% Attack, 2t.",-,-,A soft song; the water around the target thickens visibly.,enemy,7,27,50
M-RUSALKA-4,RUSALKA,4,Tide of Cold Mercy,Mendtide,Mending Tide,Tide of Cold Mercy,0,0,0,3,Heal one ally 15% max HP.,Heal one ally 20% max HP.,Heal one ally 25% max HP.,Aquatic allies are healed 10% more.,-,"A wave washes over the ally and recedes, taking the wounds with it.",ally,20,27,50
M-BULWARK-1,BULWARK,1,Fortress Devastation,Shell Slam,Fortress Slam,Fortress Devastation,70,95,120,3,Damage only.,Damage; +25% more if user has an active Defense buff.,Damage; +30% more if user has an active Defense buff.,-,-,The whole spiral tower of shell pivots and falls like a drawbridge.,enemy+self,14,28,51
M-BULWARK-2,BULWARK,2,Battlement Crush,Shell Bash,Rampart Bash,Battlement Crush,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,The fortress-shell tilts and slams down edge-first.,enemy,1,28,51
M-BULWARK-3,BULWARK,3,Impenetrable Withdrawal,Withdraw,Shell Seal,Impenetrable Withdrawal,0,0,0,3,"+35% Defense (self, 1t).","+40% Defense (self, 1t); heal self 10% max HP.","+50% Defense (self, 1t); heal self 15% max HP.",-,-,The snail vanishes inside; the shell seals with a stone-on-stone boom.,self,21,28,51
M-BULWARK-4,BULWARK,4,Rampart Mireshield,Slime Coat,Rampart Slime,Rampart Mireshield,0,0,0,2,Mired Trail: 1t.,"Mired Trail: target -1 Speed stage, 2t.","Mired Trail: target -1 Speed stage, 2t.",-,-,A glistening moat of slime spreads out around the target's feet.,enemy,7,28,51
M-NETHEREEL-1,NETHEREEL,1,Lash of the Hollow Dark,Dark Lash,Void Lash,Lash of the Hollow Dark,95,130,160,3,Damage only.,Damage only.,Damage only.,-,+40% damage vs Eldritch targets.,The tail sweeps through a smear of pure black that bends the light.,enemy,21,28,52
M-NETHEREEL-2,NETHEREEL,2,Abyssal Discharge,Static Discharge,Voltaic Discharge,Abyssal Discharge,50,65,80,1,Damage only.,"Damage; Numbed: target -1 Speed stage, 1t.","Damage; Numbed: target -1 Speed stage, 1t.",-,-,Blue-white arcs crawl along the target's limbs and lock them.,enemy,7,28,52
M-NETHEREEL-3,NETHEREEL,3,Bite Between Worlds,Phase Bite,Phasing Bite,Bite Between Worlds,30,40,50,0,Damage only.,Damage; ignores 5% of target Defense.,Damage; ignores 10% of target Defense.,-,-,The eel's head flickers out of existence and reappears mid-bite.,enemy,1,28,52
M-NETHEREEL-4,NETHEREEL,4,Slip Out of Being,Unreal Slip,Phase Slip,Slip Out of Being,0,0,0,2,"Self +1 Speed stage, 1t.","Self +1 Speed stage, 2t; next hit taken -25%.","Self +1 Speed stage, 2t; next hit taken -30%.",-,-,"Half the eel's body desaturates, like film losing a frame.",self,14,28,52
M-CORALHYDRA-1,CORALHYDRA,1,Ninefold Fury,Triple Snap,Sixfold Fury,Ninefold Fury,95,130,160,4,Damage as 2 hits.,Damage as 3 hits.,Damage as 3 hits.,-,+30% damage vs Aquatic targets.,Every head strikes at once; the water itself seems to bite.,enemy,22,29,52
M-CORALHYDRA-2,CORALHYDRA,2,Ninemaw Maul,Triple Maul,Sixfold Maul,Ninemaw Maul,50,65,80,0,Damage as 2 hits.,"Damage as 3 hits, one per head.","Damage as 3 hits, one per head.",-,-,Three heads strike in overlapping arcs from different angles.,enemy,1,29,52
M-CORALHYDRA-3,CORALHYDRA,3,Razorreef Rake,Coral Rake,Reefclaw Rake,Razorreef Rake,30,40,50,0,"Damage; Coral Rot: target -5% Defense, 1t.","Damage; Coral Rot: target -8% Defense, 2t.","Damage; Coral Rot: target -10% Defense, 2t.",-,-,"Razor coral crusts drag across the target, leaving chalky gouges.",enemy,8,29,52
M-CORALHYDRA-4,CORALHYDRA,4,Hydra Proliferation,Regrow Head,Sprout Heads,Hydra Proliferation,0,0,0,3,"Self +15% Attack, 2t.","Self +20% Attack, 2t; cleanse 1 debuff.","Self +25% Attack, 2t; cleanse 1 debuff.",-,-,A severed stump boils and blossoms into a new snarling head.,self,15,29,52
M-DAGON-1,DAGON,1,The Sea Remembers,Tide Surge,The Deep Remembers,The Sea Remembers,95,130,160,4,Damage; +15% more per debuff on target (max +30%).,Damage; +20% more per debuff on target (max +40%).,Damage; +25% more per debuff on target (max +50%).,-,-,"The water darkens with every wrong ever drowned in it, then falls.",enemy,22,29,52
M-DAGON-2,DAGON,2,Ruinous Tide,Tide Swell,Tide of Ruin,Ruinous Tide,70,95,120,2,"Damage; Salt Curse: target -10% Defense, 1t.","Damage; Salt Curse: target -10% Defense, 2t.","Damage; Salt Curse: target -15% Defense, 2t.",-,-,"A green-black wave crests over the target and hangs, refusing to break.",enemy,8,29,52
M-DAGON-3,DAGON,3,Crush of the Abyss,Deep Crush,Abyssal Crush,Crush of the Abyss,50,65,80,0,Damage only.,Damage only.,Damage only.,-,-,A barnacled fist falls with the weight of a sinking ship.,enemy,1,29,52
M-DAGON-4,DAGON,4,Dominion of the Drowned,Drowned Court,Court of the Drowned,Dominion of the Drowned,0,0,0,2,"One ally +10% Attack, 2t.","All allies +10% Attack, 2t.","All allies +15% Attack, 2t.",Undead and Aquatic allies gain +30% Attack instead.,-,Kelp-wrapped shades of drowned sailors rise and bow to the allies.,ally,15,29,52
M-VOIDSIPHON-1,VOIDSIPHON,1,Beyond the Event Horizon,Dark Pull,Event Horizon,Beyond the Event Horizon,70,95,120,3,"Damage; Pulled Under: target -1 Speed stage, 1t.","Damage; Pulled Under: target -2 Speed stages, 1t.","Damage; Pulled Under: target -2 Speed stages, 1t.",-,+35% damage vs Fey targets.,"The ink cloud collapses inward to a point, dragging the target with it.",enemy,18,24,47
M-VOIDSIPHON-2,VOIDSIPHON,2,Jet of Hungry Dark,Ink Jet,Void Jet,Jet of Hungry Dark,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,A propulsive squirt of ink black enough to look solid.,enemy,1,24,47
M-VOIDSIPHON-3,VOIDSIPHON,3,Ink That Swallows Worlds,Swallowing Ink,Devouring Ink,Ink That Swallows Worlds,0,0,0,2,"Inkblind: target -10% Attack, 1t.","Inkblind: target -15% Attack, 2t.","Inkblind: target -20% Attack, 2t.","Mollusk allies gain +15% Defense, 2t.",-,The ink cloud doesn't disperse — it contracts around the target's head.,enemy,6,24,47
M-VOIDSIPHON-4,VOIDSIPHON,4,Retreat Between Stars,Blink Home,Blink Away,Retreat Between Stars,0,0,0,2,"+25% Defense (self, 1t).","+30% Defense (self, 1t); cleanse 1 debuff.","+40% Defense (self, 1t); cleanse 1 debuff.",-,-,"The squid folds into its own ink and reappears a metre away, refreshed.",self,12,24,47
M-DUSKSCALE-1,DUSKSCALE,1,Maw of Falling Night,Dusk Bite,Twilight Maw,Maw of Falling Night,95,130,160,3,Damage only.,Damage only.,Damage only.,-,+30% damage vs Insect targets.,The jaws open against a darkening sky; the bite lands out of the glare.,enemy,20,26,49
M-DUSKSCALE-2,DUSKSCALE,2,Fury of the Last Light,Basking Fury,Sunfed Fury,Fury of the Last Light,70,95,120,2,Damage only.,Damage; +25% more if user is above 70% HP.,Damage; +30% more if user is above 70% HP.,-,-,Heat-shimmer pours off the scales as the monitor lunges.,enemy+self,7,26,49
M-DUSKSCALE-3,DUSKSCALE,3,Duskscythe Sweep,Tail Sweep,Tail Scythe,Duskscythe Sweep,50,65,80,0,Damage only.,Damage only.,Damage only.,-,-,"A low, heavy tail arc that kicks up a fan of sand.",enemy,1,26,49
M-DUSKSCALE-4,DUSKSCALE,4,Vanish Into Dusk,Duskshift,Twilight Shift,Vanish Into Dusk,0,0,0,2,"+20% Defense (self, 2t).","+25% Defense (self, 2t); +5% Attack (self, 2t).","+30% Defense (self, 2t); +10% Attack (self, 2t).","Reptile allies gain +10% Attack, 2t.",-,Scales ripple through sunset colours until the lizard half-vanishes.,self,13,26,49
M-SANDSKITTER-1,SANDSKITTER,1,Shriek of the Requiem,Shrill Cry,Requiem Shriek,Shriek of the Requiem,70,95,120,3,Damage; +25% more vs targets with Unraveled.,Damage; +40% more vs targets with Unraveled.,Damage; +50% more vs targets with Unraveled.,-,+30% damage vs Beast targets.,The wail becomes visible — concentric rings that shred what they cross.,enemy,15,20,44
M-SANDSKITTER-2,SANDSKITTER,2,Touch of the Wailing Dead,Wailing Touch,Keening Touch,Touch of the Wailing Dead,30,40,50,0,Damage only.,Damage only.,Damage only.,-,-,A pale hand passes through the target; the sound arrives late.,enemy,1,20,44
