ID,Line_ID,Stage,Name,Type_Primary,Type_Secondary,Type_Tertiary,Background_Key,Rarity,Floor_Found,Encounter_Type,Evolves_From,Evolves_To,Evolve_Level,Grade_Attack,Grade_Defense,Grade_Utility,Grade_Speed,Description,Image_Prompt,Image_Path,Home_Zone,Art_Status,BG_Status,Option_Slots,Sync_Status,Revision_Reason
DFMC-011,BRAMBLEFAWN,2,Briarfawn,Beast,Flora,,"White (255,255,255)",Common,35;45;55;66,Outdoors,DFMC-010,DFMC-012,59,2,4,7,7,Deer whose antlers are living thorned vines.,"A deer-creature whose antlers are living thorned vines: a lean stag in moss-green and bark-brown, its antlers twisting briar-vines budding with dark blossoms, hooves like split roots, leaves growing along its spine and deep amber eyes. As a Beast/Flora creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture, living plant matter — bark, vines, leaves, blossoms or roots — growing as part of its body. On a plain flat pure-white seamless backdrop, just the creature and nothing else. Full body, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides — nothing even close to any edge. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, NOT overexposed, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-011.png,Grasslands,approved,crop_approved,A,needs_reimport,
DFMC-012,BRAMBLEFAWN,3,Bramblefawn,Beast,Flora,,"Magenta (255,0,255)",Common,68;78;88;99,Fishing,DFMC-011,,,2,4,7,7,Deer whose antlers are living thorned vines.,"The colossal final BRAMBLEFAWN form: a towering stag evolved far beyond its prior stage — a massive crown of gnarled bramble-antlers heavy with thorns and blossoms, thick bark-plated hide, moss and vines trailing from its flanks, deep-set glowing eyes, far larger, grander and more imposing than before, a commanding forest-lord presence. As a Beast/Flora creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture; and living plant matter — bark, vines, leaves, blossoms or roots — growing as part of its body. On a plain flat pure-white seamless backdrop, just the creature and nothing else — NO floor, NO ground plane, NO surface, NO ground-cast shadow, the creature is not standing on anything. Full body, seen from a three-quarter angle, NOT looking at the camera. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, NOT overexposed, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-012.png,Grasslands,approved,crop_approved,A,not_imported,
DFMC-013,NIGHTMARE,1,Shade,Beast,Fey,Spectral,"Charcoal (20,20,20)",Uncommon,1;11;21;31,Outdoors,,DFMC-014,28,4,2,7,8,A spectral phantom entity that manifests as a hooded wraith wreathed in ghost-fire and runes.,"A fresh painterly dark-fantasy illustration of the very same creature shown in the reference image, as its INFANT stage: a small young spectral mist-foal in the same pale blue-white vaporous form as the reference, barely-formed and translucent, short wispy legs already dissolving into faint vapor, tiny cold points of white light for eyes, a small indistinct misty muzzle — clearly a juvenile of the reference creature, hovering with nothing touching the ground. As a Beast/Fey creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture; and an eerie ethereal glow, delicate uncanny features, drifting motes of faint fairy-light. On a plain flat dark charcoal (#141414) seamless backdrop, just the creature and nothing else. Seen from a three-quarter angle, NOT looking at the camera, facing toward the left, occupying only the CENTER 70% of the frame. Richly saturated vivid colors, dramatic dark-fantasy rim lighting, deep shadows, NOT washed out, one single cohesive creature, no text, no props, no scenery.",codex/images/DFMC-013.png,Grasslands,approved,crop_approved,A,not_imported,
DFMC-014,NIGHTMARE,2,Phantasm,Beast,Fey,Spectral,"Charcoal (20,20,20)",Uncommon,34;44;54;64,Cave,DFMC-013,DFMC-015,61,4,2,7,8,A spectral phantom entity that manifests as a hooded wraith wreathed in ghost-fire and runes.,"A spectral horse-shape formed of pale blue-white mist, deeply wrong and alien, HOVERING in mid-air with NO feet, NO hooves and NOTHING touching the ground: all four legs far too long with two extra joints each, bending in impossible directions, every leg dissolving into trailing vapor well before it ends with clear empty space beneath the floating body; the lower jaw dissolved into hanging streamers of fog, a ribcage showing as darker banding through the vaporous body, two cold points of white light burning where eyes should be, and a mane streaming upward as slow haze defying gravity. As a Beast/Fey creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture; and an eerie ethereal glow, delicate uncanny features, drifting motes of faint fairy-light. On a plain flat dark charcoal (#141414) seamless backdrop, just the creature and nothing else. Full body, hovering in mid-air in a combat-ready posture, seen from a three-quarter angle, NOT looking at the camera, facing toward the left. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides — nothing even close to any edge. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, NOT overexposed, one single cohesive creature, no text, no props, no scenery.",codex/images/DFMC-014.png,Grasslands,approved,bg_approved,A,not_imported,
DFMC-015,NIGHTMARE,3,Nightmare,Beast,Fey,Spectral,"Green (0,255,0)",Uncommon,67;77;87;97,Cave,DFMC-014,,,4,2,7,8,A spectral demon-horse that runs down souls across the dark.,"A monstrous NIGHTMARE demon-horse, the towering final evolution of this line, grander and fiercer than its prior form: a powerful gaunt equine body of shadow warping at the edges like heat-haze, a mane and tail of billowing spectral fire, burning eyes, cracked bone-plating along skull and spine, smoking hooves — an apex fae nightmare. As a Beast/Fey creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture, iridescent enchanted glamour-markings that shimmer like heat-haze, adornments of living flowers, petals or a bright hypnotic lure-light, and an uncanny too-flawless beguiling beauty built to deceive the eye. On a plain flat dark charcoal #141414 seamless backdrop, just the creature and nothing else. Full body, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the CENTER 70% of the frame with generous empty background on all sides — nothing even close to any edge. Richly saturated vivid colors, dramatic dark-fantasy rim lighting with deep shadows, moody painterly rendering, NOT washed out, NOT overexposed, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-015.png,Grasslands,approved,bg_approved,A,not_imported,
DFMC-016,GOLGOTH,1,Cairn,Beast,Elemental,,"White (255,255,255)",Uncommon,1;11;21;31,Outdoors,,DFMC-017,29,8,7,3,3,A hulking beast whose hide has calcified into stone plate.,"Generated from the Stage 2 reference image: the infant version of this creature on the same chroma green background, just the creature and nothing else. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture.",codex/images/DFMC-016.png,Grasslands,approved,bg_approved,A,not_imported,
DFMC-017,GOLGOTH,2,Menhir,Beast,Elemental,,"Green (0,255,0)",Uncommon,34;44;54;64,Cave,DFMC-016,DFMC-018,62,8,7,3,3,A hulking beast whose hide has calcified into stone plate.,"A massive low-slung quadruped whose hide has calcified into overlapping slabs of warm tan sandstone, seams crusted with bright orange lichen. Four short blunt horns run in a row across its brow, a hunched shoulder hump towers over the small skull, tiny furious eyes sit deep in stone sockets, its wide hooves are split into three stone toes, and the heavy tail ends in a cracked stone ball. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a solid flat chroma-key green background, just the creature and nothing else. Full body, centered, painterly dark-fantasy illustration, dramatic rim lighting with clear mid-key exposure, vivid readable colors, one single cohesive creature, no text, no props, no scenery. No floating or detached parts.",codex/images/DFMC-017.png,Grasslands,needs_art_revision,bg_approved,A,not_imported,legacy_gen_model (not gpt-image-2)
DFMC-018,GOLGOTH,3,Golgoth,Beast,Elemental,,"White (255,255,255)",Uncommon,67;77;87;97,Cave,DFMC-017,,,8,7,3,3,A hulking beast whose hide has calcified into stone plate.,"Generated from the Stage 2 reference image: the final form evolution version of this creature on the same chroma green background, just the creature and nothing else. As a Beast creature it also shows thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture.",codex/images/DFMC-018.png,Grasslands,approved,bg_approved,A,not_imported,
DFMC-019,WYCHROOT,1,Sprig,Flora,,,"White (255,255,255)",Uncommon,1;11;21;31,Outdoors,,DFMC-020,30,3,8,7,3,A walking tree-stump that moves on aggressive roots.,"Generated from the Stage 2 reference image: the infant version of this creature on the same chroma magenta background, just the creature and nothing else. As a Flora/Beast creature it also shows living plant matter — bark, vines, leaves, blossoms or roots — growing as part of its body; and thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture.",codex/images/DFMC-019.png,Grasslands,approved,bg_approved,A,not_imported,
DFMC-020,WYCHROOT,2,Woodwose,Flora,,,"Magenta (255,0,255)",Uncommon,34;44;54;64,Cave,DFMC-019,DFMC-021,63,3,8,7,3,A walking tree-stump that moves on aggressive roots.,"A squat walking stump of pale silver-birch bark scored with black knots. Five knothole eyes glow amber at uneven heights around its trunk, its mouth is a horizontal split lined with peg-teeth of splintered wood, it stands on a knot of thick woody root-legs of mismatched lengths, one arm-branch ends in a fan of jagged splinters, and a beard of grey lichen hangs beneath the mouth. As a Flora/Beast creature it also shows living plant matter — bark, vines, leaves, blossoms or roots — growing as part of its body; and thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture. On a solid flat chroma-key magenta background, just the creature and nothing else. Full body, centered, painterly dark-fantasy illustration, dramatic rim lighting with clear mid-key exposure, vivid readable colors, one single cohesive creature, no text, no props, no scenery. No floating or detached parts.",codex/images/DFMC-020.png,Grasslands,needs_art_revision,bg_approved,A,not_imported,legacy_gen_model (not gpt-image-2)
DFMC-021,WYCHROOT,3,Wychroot,Flora,,,"White (255,255,255)",Uncommon,67;77;87;97,Cave,DFMC-020,,,3,8,7,3,A walking tree-stump that moves on aggressive roots.,"A fully-evolved FINAL FORM walking tree-stump beast for a dark-fantasy creature-collector. A hulking ambulatory rotted tree-stump that moves on AGGRESSIVE THRASHING ROOT-LEGS, gnarled bark-hide split by a snarling knothole maw, glowing fungal eyes, moss and toadstools sprouting from cracked bark, jagged splintered branch-spurs, dangling severed root-tendrils like claws. Palette: deep bark-brown, rot-black, sickly fungal green, amber sap glow. Combat-ready stance as if facing an opponent, three-quarter angle, NOT looking at the camera, body oriented facing the LEFT side of the frame. Full body visible, occupies only the CENTER 70% of the frame, clear empty space on all sides, nothing near any edge. Crisp sharply-detailed painterly dark-fantasy illustration, dramatic rim lighting, clear mid-key exposure, vivid readable colors, one single cohesive creature, no text. Isolated on a COMPLETELY FLAT SOLID PURE BLACK background, no scenery, no environment. As a Flora/Beast creature it also shows living plant matter — bark, vines, leaves, blossoms or roots — growing as part of its body; and thick fur or hide, a fanged predatory muzzle, clawed paws and a feral posture.",codex/images/DFMC-021.png,Grasslands,approved,bg_approved,A,not_imported,
DFMC-022,GARROTE,1,Noose,Undead,Construct,,"White (255,255,255)",Rare,1;12;24,Outdoors,,DFMC-023,32,9,3,3,8,"A strangler revenant of knotted bindings, sinew, and bone hooks.","A fresh painterly dark-fantasy illustration of the very same creature shown in the reference image, reimagined as its newly-formed INFANT stage: much smaller and far simpler, a compact hatchling version with the same anatomy, materials, and color palette as the reference — its binding-like body short and soft, only a single small hook at the tail, a few loose frayed strands, large dim eyes and undeveloped features, clearly a juvenile of the reference creature. As a Undead/Construct creature it also shows decayed rotting flesh over exposed bone, sunken hollow eye-sockets, a desiccated grave-touched look; and a body assembled from inert material — stone, iron or bound components — with visible joints and seams, no organic softness. On a solid flat pure white background, just the creature and nothing else. Full body in a combat-ready stance, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the center 70% of the frame with generous empty background margin on all sides — nothing even close to any edge. Painterly dark-fantasy illustration, dramatic rim lighting with clear mid-key exposure, vivid readable colors, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-022.png,Grasslands,approved,crop_approved,A,not_imported,
DFMC-023,GARROTE,2,Ligature,Undead,Construct,,"White (255,255,255)",Rare,34;45;57,Cave,DFMC-022,DFMC-024,65,9,3,3,8,"A strangler revenant of knotted bindings, sinew, and bone hooks.","A desert ambush constrictor with a body flattened like a leather strap, but deeply wrong: its scales are dusty gold and bone-white banding with rust-red diamond blotches, the head splits into a Y-shape with two separate jaws that work independently, a hood of loose translucent skin flares behind the skull revealing dark vein networks beneath, six eyes sit in three mismatched pairs along the wedge head, backward-curved fangs protrude over the lip even with both mouths shut, the tail tapers into a hard bone hook barbed like a fishhook, and vestigial limb-nubs poke from the first third of the body. As a Undead/Construct creature it also shows decayed rotting flesh over exposed bone, sunken hollow eye-sockets, a desiccated grave-touched look; and a body assembled from inert material — stone, iron or bound components — with visible joints and seams, no organic softness. On a solid flat chroma-key green (0,255,0) background, just the creature and nothing else. In a natural combat-ready stance as if facing an opponent. Full body visible with generous margin on all sides, the creature fits entirely within the frame with clear space around it, nothing cropped at edges. Centered, painterly dark-fantasy illustration, dramatic rim lighting with clear mid-key exposure, vivid readable colors, one single cohesive creature, no text, no props, no scenery. No floating or detached parts.",codex/images/DFMC-023.png,Grasslands,approved,crop_approved,A,not_imported,
DFMC-024,GARROTE,3,Garrote,Undead,Construct,,"White (255,255,255)",Rare,67;78;91,Outdoors,DFMC-023,,,9,3,3,8,"A strangler revenant of knotted bindings, sinew, and bone hooks.","A fresh painterly dark-fantasy illustration of the very same creature shown in the reference image, evolved into its FINAL and most terrifying form: MASSIVELY larger and heavier than the reference, its binding-like body THICKENED into dense layered coils, FAR MORE hooks and barbs bristling from every strand, armor-like knotted wrappings, eyes burning FIERCELY, trailing MANY long frayed strangling lines — an APEX version with the same anatomy, materials, and color palette as the reference, EVERY feature exaggerated. As a Undead/Construct creature it also shows decayed rotting flesh over exposed bone, sunken hollow eye-sockets, a desiccated grave-touched look; and a body assembled from inert material — stone, iron or bound components — with visible joints and seams, no organic softness. On a solid flat pure white background, just the creature and nothing else. Full body in a combat-ready stance, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the center 70% of the frame with generous empty background margin on all sides — nothing even close to any edge. Painterly dark-fantasy illustration, dramatic rim lighting with clear mid-key exposure, vivid readable colors, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-024.png,Grasslands,approved,crop_approved,A,not_imported,
DFMC-025,GALLOWSBIRD,1,Nestling,Avian,Undead,,"White (255,255,255)",Uncommon,1;13;24,Outdoors,,DFMC-026,33,3,3,7,9,A carrion bird with an exposed ribcage that trails the dying.,"A fresh painterly dark-fantasy illustration of the very same creature shown in the reference image, as its INFANT hatchling stage: a small scrawny carrion-bird chick in the same dull purple-black plumage, patchy natal down exposing a tiny bare bone-white ribcage, an undersized hooked beak just beginning to split at the tip, four milky eyes still half-lidded, stubby featherless wings, and oversized backward-bending legs it has not grown into — clearly a hatchling of the reference creature, same anatomy and color palette. As a Avian/Undead creature it also shows layered feathers, a hooked beak, taloned bird feet, folded or spread wings; and decayed rotting flesh over exposed bone, sunken hollow eye-sockets, a desiccated grave-touched look. On a solid flat pure white background, just the creature and nothing else. Full body in a combat-ready stance, seen from a three-quarter angle, NOT looking at the camera. The creature occupies only the center 70% of the frame with generous empty background margin on all sides — nothing even close to any edge. Painterly dark-fantasy illustration, dramatic rim lighting with clear mid-key exposure, vivid readable colors, one single cohesive creature, no text, no props, no scenery, no floating or detached parts.",codex/images/DFMC-025.png,Grasslands,approved,crop_approved,A,not_imported,
DFMC-026,GALLOWSBIRD,2,Carrion,Avian,Undead,,"White (255,255,255)",Uncommon,34;46;57,Cave,DFMC-025,DFMC-027,66,3,3,7,9,A carrion bird with an exposed ribcage that trails the dying.,"A large ragged carrion bird, feathers a dull purple-black sheen falling away over the breast to expose a bare bone-white ribcage with the dried heart still visible inside. Its bald wrinkled head carries four milky eyes, the heavy hooked beak splits at the tip into two prongs, stiff quill-spikes bristle through the remaining plumage, and its overlong legs bend backward at the knee. As a Avian/Undead creature it also shows layered feathers, a hooked beak, taloned bird feet, folded or spread wings; and decayed rotting flesh over exposed bone, sunken hollow eye-sockets, a desiccated grave-touched look. On a solid flat chroma-key green background, just the creature and nothing else. Full body, centered, painterly dark-fantasy illustration, dramatic rim lighting with clear mid-key exposure, vivid readable colors, one single cohesive creature, no text, no props, no scenery. No floating or detached parts.",codex/images/DFMC-026.png,Grasslands,approved,bg_approved,A,not_imported,
