Floor,Zone,Encounter_Type,Is_Boss,Boss_Name,Primary_Type,Tier,Visual_Theme,Description,Cover_Image_Path,Wins_To_Clear
20,Tidal Shallows,Cave,Yes,Abyssal Trench Gate,Sea Creature,Early,Trench Gate,The zone's final passage — a drowned stone archway that only opens for a bearer of the trench key.,,8
21,Desert Plains,Outdoors,No,,"Reptile, Serpent",Early,Sunbaked Flats,"Cracked earth stretching to the horizon, heat shimmering above sand-scoured stone.",,8
22,Desert Plains,Outdoors,No,,"Reptile, Serpent",Early,Bone Dune Ridge,"Dunes littered with bleached bones, the wind carving new shapes hourly.",,8
23,Desert Plains,Cave,No,,"Reptile, Serpent",Early,Sandworm Burrow,"A collapsed tunnel network beneath the dunes, walls smoothed by something massive passing through.",,8
24,Desert Plains,Outdoors,No,,"Reptile, Serpent",Early,Cracked Salt Pan,"A dry lakebed of blinding white salt, mirages bending the air.",,8
25,Desert Plains,Outdoors,No,,"Reptile, Serpent",Early,The Sunspire Coil,"A lone stone spire rising from the sand, wrapped in the coiled shed-skin of something enormous.",,9
26,Desert Plains,Fishing,No,,"Reptile, Serpent",Early,Hidden Oasis,"A rare pocket of green around a spring-fed pool, the only water for miles.",,9
27,Desert Plains,Outdoors,No,,"Reptile, Serpent",Early,Windcarved Mesa,Towering rock formations sculpted smooth by centuries of sandstorm.,,9
28,Desert Plains,Cave,No,,"Reptile, Serpent",Early,Sun-Cracked Grotto,"A shallow cave baked hot even in shadow, its floor littered with molted scales.",,9
29,Desert Plains,Outdoors,No,,"Reptile, Serpent",Early,Serpent's Crossing,A narrow pass between dunes where tracks converge from every direction.,,9
30,Desert Plains,Cave,Yes,The Ossuary Coil,"Reptile, Serpent",Early,The Ossuary Coil,A deep burrow chamber lined with the fused bones of a dozen swallowed prey.,,10
31,Swarm Thicket,Outdoors,No,,Insect,Early,Webbed Undergrowth,"Thick silk strands stretch between every trunk, glistening with dew and worse.",,10
32,Swarm Thicket,Cave,No,,Insect,Early,Hive Tunnel,"A tunnel lined with wax-like secretion, the buzzing audible before the entrance appears.",,10
33,Swarm Thicket,Outdoors,No,,Insect,Early,Chitin Clearing,"A clearing carpeted in shed exoskeletons, crunching underfoot.",,10
34,Swarm Thicket,Cave,No,,Insect,Mid,Larval Chamber,"A humid cavern packed with pale, pulsing egg-sacs stacked to the ceiling.",,10
35,Swarm Thicket,Outdoors,No,,Insect,Mid,The Queen's Nest,"A massive silk-wrapped structure at the thicket's heart, guarded without pause.",,11
36,Swarm Thicket,Outdoors,No,,Insect,Mid,Buzzing Meadow,"Tall grass alive with constant motion, the air thick with wings.",,11
37,Swarm Thicket,Fishing,No,,Insect,Mid,Stagnant Mire Edge,"A still, algae-choked pond at the thicket's border, larvae writhing just beneath the surface.",,11
38,Swarm Thicket,Cave,No,,Insect,Mid,Silk-Choked Burrow,A narrow tunnel nearly sealed by layers of old webbing.,,11
39,Swarm Thicket,Outdoors,No,,Insect,Mid,Molting Grounds,A wide clearing littered with discarded shells of every size.,,11
40,Swarm Thicket,Cave,Yes,The Broodmother's Hollow,Insect,Mid,The Broodmother's Hollow,"A cavern swollen with silk and eggs, the true source of the thicket's swarm.",,11
41,The Crag,Cave,No,,Arthropod,Mid,Fissure Entrance,"A narrow crack in the cliffside, just wide enough to squeeze through sideways.",,12
42,The Crag,Outdoors,No,,Arthropod,Mid,Windswept Ledge,"A precarious ledge along the cliff face, loose scree shifting underfoot.",,12
43,The Crag,Cave,No,,Arthropod,Mid,Silk-Strung Crevice,A tight crevice crossed with thick strands of webbing anchored to bare rock.,,12
44,The Crag,Cave,No,,Arthropod,Mid,Molt-Littered Hollow,A small cave floor covered in discarded carapace fragments.,,12
45,The Crag,Cave,No,,Arthropod,Mid,The Widow's Crevasse,A deep vertical crack where something ancient has been shedding skins for decades.,,12
46,The Crag,Outdoors,No,,Arthropod,Mid,Scree Slope,"A steep, unstable slope of loose stone, every step risking a slide.",,13
47,The Crag,Fishing,No,,Arthropod,Mid,Cliffside Spring,A thin waterfall feeding a small pool wedged between rock walls.,,13
48,The Crag,Cave,No,,Arthropod,Mid,Bone-Pit Chamber,A low cavern floor littered with the picked-clean remains of past prey.,,13
49,The Crag,Cave,No,,Arthropod,Mid,Chitin Gallery,A wide cavern with claw-carved alcoves along every wall.,,13
50,The Crag,Cave,Yes,The Carapace Throne,Arthropod,Mid,The Carapace Throne,A cathedral-sized cavern dominated by a mound of fused shells and old kills.,,13
51,Storm Peaks,Outdoors,No,,Avian,Mid,Windbattered Switchback,"A narrow trail clinging to the mountainside, gusts strong enough to stagger.",,13
52,Storm Peaks,Outdoors,No,,Avian,Mid,Cliffnest Overlook,"Sheer rock face pocked with nests, wings circling constantly overhead.",,14
53,Storm Peaks,Cave,No,,Avian,Mid,Thunderhollow,"A cave carved by centuries of lightning strikes, scorch marks on every wall.",,14
54,Storm Peaks,Outdoors,No,,Avian,Mid,Talon Ridge,A jagged ridgeline littered with old kills and dropped feathers.,,14
55,Storm Peaks,Outdoors,No,,Avian,Mid,The Stormcaller's Aerie,"A massive nest built atop the highest visible peak, lightning crackling above it.",,14
56,Storm Peaks,Outdoors,No,,Avian,Mid,Frostbitten Summit,"A wind-scoured peak where snow never quite melts, visibility dropping to nothing.",,14
57,Storm Peaks,Fishing,No,,Avian,Mid,Alpine Tarn,"A still, glacier-fed lake tucked into a hidden basin below the peaks.",,14
58,Storm Peaks,Cave,No,,Avian,Mid,Echo Cavern,"A resonant cave where every sound returns tenfold, unsettling in the dark.",,15
59,Storm Peaks,Outdoors,No,,Avian,Mid,Skybridge Crossing,"A narrow natural rock bridge spanning a deep chasm, wind howling below.",,15
60,Storm Peaks,Outdoors,Yes,The Roost of the First Storm,Avian,Mid,The Roost of the First Storm,A wind-torn summit shrine where the oldest and largest of the peaks' hunters nests.,,15
61,Sunken Bog,Fishing,No,,Amphibian,Mid,Reedchoked Shallows,"Murky water thick with reeds, ripples betraying movement just below.",,15
62,Sunken Bog,Outdoors,No,,Amphibian,Mid,Mudflat Crossing,"A wide expanse of sucking mud, footing uncertain with every step.",,15
63,Sunken Bog,Cave,No,,Amphibian,Mid,Sunken Hollow,"A half-flooded cave carved into the bog's edge, water dripping steadily from above.",,15
64,Sunken Bog,Fishing,No,,Amphibian,Mid,Croaking Marsh,"A dense marsh alive with constant croaking, impossible to pinpoint its source.",,15
65,Sunken Bog,Fishing,No,,Amphibian,Mid,The Drowned Shrine,"An overgrown ruin half-submerged in bog water, guarded by something ancient and patient.",,16
66,Sunken Bog,Cave,No,,Amphibian,Mid,Rootcave Grotto,"A cave formed beneath massive bog-tree roots, damp and close.",,16
67,Sunken Bog,Outdoors,No,,Amphibian,Late,Willow Hollow,"A cluster of weeping willows draped low over stagnant, still water.",,16
68,Sunken Bog,Fishing,No,,Amphibian,Late,Sinking Path,"A submerged walkway barely visible beneath murky, algae-thick water.",,16
69,Sunken Bog,Cave,No,,Amphibian,Late,Mire Tunnel,"A low, water-filled tunnel that floods further with every step deeper.",,16
70,Sunken Bog,Fishing,Yes,The Bogfather's Pool,Amphibian,Late,The Bogfather's Pool,"A wide, black pool at the bog's deepest point, undisturbed for longer than anyone can say.",,16
71,Underwater Cave,Outdoors,No,,"Fungal, Mollusk",Late,Cliffside Cave Mouth,"A cave entrance high on a sea cliff, the sound of dripping water echoing from within.",,16
72,Underwater Cave,Cave,No,,"Fungal, Mollusk",Late,Glowspore Passage,"A tunnel lined with faintly luminous fungus, the only light source this deep.",,17
73,Underwater Cave,Fishing,No,,"Fungal, Mollusk",Late,Flooded Antechamber,"A partially submerged chamber, cold water rising to the waist.",,17
74,Underwater Cave,Cave,No,,"Fungal, Mollusk",Late,Mycelium Grotto,"A cavern webbed floor to ceiling in pale fungal threads, pulsing faintly.",,17
75,Underwater Cave,Cave,No,,"Fungal, Mollusk",Late,The Luminous Deep,"A vast, glowing flooded cavern where something vast drifts just beneath the light.",,17
76,Underwater Cave,Fishing,No,,"Fungal, Mollusk",Late,Ink-Dark Pool,A still pool so dark it seems to swallow the light entirely.,,17
77,Underwater Cave,Cave,No,,"Fungal, Mollusk",Late,Spore Chimney,"A vertical shaft coated in fungal growth, spores drifting like slow snow.",,17
78,Underwater Cave,Fishing,No,,"Fungal, Mollusk",Late,Sunken Passage,A fully flooded tunnel requiring a held breath and steady nerves.,,17
79,Underwater Cave,Cave,No,,"Fungal, Mollusk",Late,Tendril Hollow,"A cave whose walls seem to shift and pulse, some of it clearly alive.",,18
80,Underwater Cave,Cave,Yes,The Abyssal Bloom,"Fungal, Mollusk",Late,The Abyssal Bloom,"A massive fungal-mollusk hybrid mass has claimed this cavern as its own, unfurling as you enter.",,18
81,Gemstone Cave,Outdoors,No,,"Spectral, Vampiric",Late,Crystal Outcrop,"Veins of raw gemstone catch the light at the cave's entrance, unnervingly beautiful.",,18
82,Gemstone Cave,Cave,No,,"Spectral, Vampiric",Late,Refracted Hollow,"Crystal formations scatter torchlight into a hundred shifting, ghostly shapes.",,18
83,Gemstone Cave,Cave,No,,"Spectral, Vampiric",Late,Silent Gallery,A wide crystal chamber where sound seems to vanish the moment it's made.,,18
84,Gemstone Cave,Fishing,No,,"Spectral, Vampiric",Late,Still Reflection Pool,An underground pool so clear and still it mirrors the cave ceiling perfectly.,,18
85,Gemstone Cave,Cave,No,,"Spectral, Vampiric",Late,The Weeping Crystal Tomb,"An ornate crystal sarcophagus chamber, faint sobbing echoing from no visible source.",,18
86,Gemstone Cave,Cave,No,,"Spectral, Vampiric",Late,Bloodlit Passage,"Crystal veins here run a deep, unsettling red, casting the tunnel in crimson light.",,19
87,Gemstone Cave,Fishing,No,,"Spectral, Vampiric",Late,Sunken Reliquary,"A flooded burial chamber, old grave goods glinting beneath the water.",,19
88,Gemstone Cave,Cave,No,,"Spectral, Vampiric",Late,Whispering Vein,A narrow tunnel where the crystal formations seem to murmur just below hearing.,,19
89,Gemstone Cave,Cave,No,,"Spectral, Vampiric",Late,Hollow Court,"A grand chamber that was once clearly ceremonial, now cold and abandoned.",,19
90,Gemstone Cave,Cave,Yes,The Undying Crypt,"Spectral, Vampiric",Late,The Undying Crypt,"The deepest tomb in the cave, sealed for a reason nobody living remembers.",,19
91,Flaming Hellscape,Outdoors,No,,Construct,Late,Obsidian Flats,"Cracked black glass stretches for miles, heat rippling up from below.",,19
92,Flaming Hellscape,Cave,No,,Construct,Late,Forge Tunnel,"A tunnel lined with old furnace scaffolding, the metal still warm to the touch.",,19
93,Flaming Hellscape,Cave,No,,Construct,Late,Slag Hollow,A cavern floor thick with cooled slag and half-melted machinery.,,20
94,Flaming Hellscape,Fishing,No,,Construct,Late,Magma Vent Pool,"A pool of superheated mineral water, bubbling steadily at the surface.",,20
95,Flaming Hellscape,Cave,No,,Construct,Late,The Furnace Heart,"The central forge chamber, where the zone's constructs are said to be made.",,20
96,Flaming Hellscape,Outdoors,No,,Construct,Late,Cinderfall Ridge,A ridge of black rock under a constant drift of falling ash.,,20
97,Flaming Hellscape,Cave,No,,Construct,Late,Rustbound Gallery,A wide cavern packed with the inert husks of failed constructs.,,20
98,Flaming Hellscape,Fishing,No,,Construct,Late,Boiling Cistern,An underground reservoir kept at a rolling boil by unknown means.,,20
99,Flaming Hellscape,Cave,No,,Construct,Late,Emberlit Passage,A narrow tunnel lit only by veins of glowing ember embedded in the rock.,,20
100,Flaming Hellscape,Cave,Yes,The Godforge,Construct,Late,The Godforge,The tower's deepest known chamber — where its ultimate construct is still being built.,,20
101,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
102,Void Apex,Void,Yes,"Mutant Vargr, the Alpha",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
103,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
104,Void Apex,Void,Yes,"Mutant Pelagos, the Trench Warden",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
105,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
106,Void Apex,Void,Yes,"Mutant Sethek, the Ossuary King",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
107,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
108,Void Apex,Void,Yes,"Mutant Mother Vesk, the Broodmother",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
109,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
110,Void Apex,Void,Yes,"Mutant Ostrakon, the Carapace Despot",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
111,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
112,Void Apex,Void,Yes,"Mutant Keraun, the Stormcaller",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
113,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
114,Void Apex,Void,Yes,"Mutant Morast, the Bogfather",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
115,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
116,Void Apex,Void,Yes,"Mutant Teloma, the Bloom Herald",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
117,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
118,Void Apex,Void,Yes,"Mutant Varkolan, the Undying King",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
119,Void Apex,Void,No,,Eldritch,Apex,The Void Beyond,Black emptiness scattered with cold stars — anything in the tower can be met here.,,30
120,Void Apex,Void,Yes,"Mutant Eskaton, the Unfinished God",Eldritch,Apex,The Void Beyond,A boss arena adrift in the void.,,30
