Event_ID,Category,Trigger,File,Gain,Retrigger_Ms,Notes,LUFS,Play_Peak_dBFS
ascend,progress,The party climbs to the next floor of the tower.,assets/afx/cues/move_stairs.ogg,0.55,,"Dungeon cue move.stairs, copied unchanged from dfmc-dungeon play/assets/audio/move_stairs.ogg.",-10.3,1.3
loot,loot,An item is picked up from a cleared floor.,assets/afx/cues/floor_item.ogg,0.4,,"Dungeon cue floor.item, copied unchanged from dfmc-dungeon play/assets/audio/floor_item.ogg.",-33.2,-11.6
loot.gear,loot,An enemy drops a piece of equipment.,assets/afx/cues/floor_gear_drop.ogg,0.4,,"Dungeon cue floor.gear_drop, copied unchanged from dfmc-dungeon play/assets/audio/floor_gear_drop.ogg.",-18.2,-0.1
egg.lay,egg,A breeding pen completes and lays an egg.,assets/afx/cues/egg_lay.ogg,0.45,,"Dungeon cue egg.lay, copied unchanged from dfmc-dungeon play/assets/audio/egg_lay.ogg.",-14.9,0.8
hatch,egg,An egg hatches into a creature.,assets/afx/cues/egg_hatch.ogg,0.55,,"Dungeon cue egg.hatch, copied unchanged from dfmc-dungeon play/assets/audio/egg_hatch.ogg.",-17.0,-1.5
egg.dismantle,egg,An egg is broken down for Ichor.,assets/afx/cues/egg_dismantle.ogg,0.4,,"Dungeon cue egg.dismantle, copied unchanged from dfmc-dungeon play/assets/audio/egg_dismantle.ogg.",-22.0,-1.1
pen.start,egg,A breeding pen is toggled on.,assets/afx/cues/pen_start.ogg,0.4,,"Dungeon cue pen.start, copied unchanged from dfmc-dungeon play/assets/audio/pen_start.ogg.",-12.2,-1.0
pen.stop,egg,A breeding pen is toggled off.,assets/afx/cues/pen_stop.ogg,0.35,,"Dungeon cue pen.stop, copied unchanged from dfmc-dungeon play/assets/audio/pen_stop.ogg.",-9.4,-1.0
craft.success,craft,A grade upgrade or enchant succeeds.,assets/afx/cues/craft_success.ogg,0.55,,"Dungeon cue craft.success, copied unchanged from dfmc-dungeon play/assets/audio/craft_success.ogg.",-10.3,1.8
craft.fail,craft,A grade upgrade or enchant fails.,assets/afx/cues/craft_fail.ogg,0.5,,"Dungeon cue craft.fail, copied unchanged from dfmc-dungeon play/assets/audio/craft_fail.ogg.",-6.3,2.3
craft.feed,craft,A piece of equipment is fed to another at the forge.,assets/afx/cues/craft_feed.ogg,0.45,,"Dungeon cue craft.feed, copied unchanged from dfmc-dungeon play/assets/audio/craft_feed.ogg.",-13.8,0.5
bank,hub,Currency banks at the end of a run.,assets/afx/cues/hub_bank.ogg,0.4,,"Dungeon cue hub.bank, copied unchanged from dfmc-dungeon play/assets/audio/hub_bank.ogg.",-27.8,-10.7
devour,hub,One creature devours another at the Soulweaver.,assets/afx/cues/hub_devour.ogg,0.55,,"Dungeon cue hub.devour, copied unchanged from dfmc-dungeon play/assets/audio/hub_devour.ogg.",-22.2,-1.0
revive,hub,A dead creature is revived.,assets/afx/cues/hub_revive.ogg,0.5,,"Dungeon cue hub.revive, copied unchanged from dfmc-dungeon play/assets/audio/hub_revive.ogg.",-10.5,-1.5
shop.buy,hub,A purchase completes in the shop - the coin leaves the purse.,assets/afx/cues/hub_bank.ogg,0.4,,"Dungeon cue hub.bank, copied unchanged from dfmc-dungeon play/assets/audio/hub_bank.ogg.",-27.8,-10.7
